sample,total.transformations,num.of.formulas,normalized.trans
SO245_masslistsSO245.SPE010_004_01_1095.corems,116082,4091,28.3749694451234
SO245_masslistsSO245.SPE011_011_01_1331.corems,114113,3942,28.9479959411466
SO245_masslistsSO245.SPE012_110_01_1218.corems,117886,4064,29.0073818897638
SO245_masslistsSO245.SPE013_048_01_1417.corems,115487,3910,29.5363171355499
SO245_masslistsSO245.SPE014_113_01_1226.corems,116677,3902,29.9018452075859
SO245_masslistsSO245.SPE015_118_01_1459.corems,112884,3773,29.9188974291015
SO245_masslistsSO245.SPE016_013_01_1335.corems,115892,3960,29.2656565656566
SO245_masslistsSO245.SPE017_123_01_1471.corems,115296,3875,29.7538064516129
SO245_masslistsSO245.SPE019_025_01_1361.corems,99474,3374,29.4825133372851
SO245_masslistsSO245.SPE021_014_01_1337.corems,113170,3813,29.6800419617099
SO245_masslistsSO245.SPE024_012_01_1333.corems,104916,3616,29.0143805309735
SO245_masslistsSO245.SPE025_104_01_1206.corems,113353,3845,29.4806241872562
SO245_masslistsSO245.SPE026_031_01_1375.corems,117551,4049,29.0321066930106
SO245_masslistsSO245.SPE027_022_01_1135.corems,107677,3687,29.2045023053973
SO245_masslistsSO245.SPE030_035_01_1165.corems,99317,3343,29.7089440622196
SO245_masslistsSO245.SPE032_021_01_1133.corems,107326,3694,29.0541418516513
SO245_masslistsSO245.SPE033_003_01_1093.corems,110161,3818,28.8530644316396
SO245_masslistsSO245.SPE034_117_01_1457.corems,114450,3868,29.5889348500517
SO245_masslistsSO245.SPE035_007_01_1101.corems,100484,3343,30.0580317080467
SO245_masslistsSO245.SPE036_140_01_1285.corems,111018,3719,29.8515730034956
SO245_masslistsSO245.SPE037_141_01_1289.corems,111737,3803,29.3812779384696
SO245_masslistsSO245.SPE038_011_01_1111.corems,120710,4221,28.5974887467425
SO245_masslistsSO245.SPE040_029_01_1149.corems,115473,4035,28.617843866171
SO245_masslistsSO245.SPE041_139_01_1283.corems,116627,4042,28.8537852548243
SO245_masslistsSO245.SPE042_024_01_1139.corems,113070,3943,28.6761349226477
SO245_masslistsSO245.SPE043_101_01_1200.corems,114832,3958,29.0126326427489
SO245_masslistsSO245.SPE044_119_01_1461.corems,117323,3962,29.6120646138314
SO245_masslistsSO245.SPE045_010_01_1327.corems,108223,3773,28.6835409488471
SO245_masslistsSO245.SPE047_043_01_1407.corems,115382,4041,28.5528334570651
SO245_masslistsSO245.SPE048_116_01_1232.corems,114549,4081,28.0688556726293
SO245_masslistsSO245.SPE049_016_01_1341.corems,118934,4139,28.7349601352984
SO245_masslistsSO245.SPE051_132_01_1269.corems,99919,3444,29.0124854819977
SO245_masslistsSO245.SPE053_048_01_1193.corems,105283,3640,28.9239010989011
SO245_masslistsSO245.SPE054_049_01_1419.corems,115753,3875,29.8717419354839
SO245_masslistsSO245.SPE056_133_01_1271.corems,106607,3685,28.929986431479
SO245_masslistsSO245.SPE057.2_046_01_1189.corems,106939,3650,29.2983561643836
SO245_masslistsSO245.SPE058_041_01_1179.corems,118397,4197,28.2099118417918
SO245_masslistsSO245.SPE060_145_01_1297.corems,117276,4019,29.1803931326201
SO245_masslistsSO245.SPE061_008_01_1323.corems,107058,3810,28.0992125984252
SO245_masslistsSO245.SPE062_020_01_1129.corems,125151,4432,28.2380415162455
SO245_masslistsSO245.SPE064_047_01_1415.corems,106754,3703,28.829057520929
SO245_masslistsSO245.SPE065_107_01_1212.corems,101624,3497,29.0603374320846
SO245_masslistsSO245.SPE067_044_01_1185.corems,104142,3598,28.9444135630906
SO245_masslistsSO245.SPE068_038_01_1389.corems,118835,4181,28.422626165989
SO245_masslistsSO245.SPE069_043_01_1183.corems,105596,3846,27.4560582423297
SO245_masslistsSO245.SPE072_002_01_1091.corems,107667,3812,28.2442287513116
SO245_masslistsSO245.SPE074_124_01_1251.corems,107687,3742,28.777926242651
SO245_masslistsSO245.SPE075_034_01_1381.corems,108559,3800,28.5681578947368
SO245_masslistsSO245.SPE076_003_01_1313.corems,107279,3730,28.7611260053619
SO245_masslistsSO245.SPE077_044_01_1409.corems,104601,3587,29.1611374407583
SO245_masslistsSO245.SPE078_122_01_1247.corems,95302,3268,29.1621787025704
SO245_masslistsSO245.SPE079_034_01_1163.corems,113205,4046,27.9794859120119
SO245_masslistsSO245.SPE086_009_01_1325.corems,106817,3682,29.0105920695274
SO245_masslistsSO245.SPE087_120_01_1463.corems,114478,3995,28.6553191489362
SO245_masslistsSO245.SPE088_047_01_1191.corems,106905,3761,28.4246211114065
SO245_masslistsSO245.SPE089_105_01_1208.corems,121854,4236,28.7662889518414
SO245_masslistsSO245.SPE092_007_01_1321.corems,105023,3611,29.0841872057602
SO245_masslistsSO245.SPE093_001_01_1309.corems,119014,4124,28.8588748787585
SO245_masslistsSO245.SPE097_042_01_1181.corems,112624,3957,28.4619661359616
SO245_masslistsSO245.SPE098_037_01_1387.corems,112572,3969,28.3628117913832
SO245_masslistsSO245.SPE099_110_01_1441.corems,113862,3990,28.5368421052632
SO245_masslistsSO245.SPE100_021_01_1353.corems,119665,4104,29.1581384015595
